asn,filtering,confidence,source
174,peers,1,cloudflare
174,all,0.2,tma
286,peers,1,cloudflare
553,peers,1,cloudflare
786,peers,1,cloudflare
852,peers,1,cloudflare
852,all,0.663551,rov.rpki.net
1103,all,0.957895,rov.rpki.net
1136,peers,1,cloudflare
1140,all,0.962667,rov.rpki.net
1200,all,1,tma
1213,peers,1,cloudflare
1221,peers,1,cloudflare
1239,peers,1,cloudflare
1241,all,1,tma
1299,peers,1,cloudflare
1299,all,0.2,tma
1403,peers,1,cloudflare
1764,peers,1,cloudflare
1798,all,0.117986,rov.rpki.net
2119,peers,1,cloudflare
2497,all,1,cloudflare
2611,peers,1,cloudflare
2852,peers,1,cloudflare
2860,peers,1,cloudflare
2906,peers,1,cloudflare
2914,peers,1,cloudflare
2914,all,0.2,tma
3130,all,0.00434783,rov.rpki.net
3252,all,0.810976,rov.rpki.net
3257,peers,1,cloudflare
3257,all,0.2,tma
3265,peers,1,cloudflare
3265,all,1,tma
3267,all,0.902857,rov.rpki.net
3280,all,0.0735294,rov.rpki.net
3292,peers,1,cloudflare
3303,peers,1,cloudflare
3303,all,1,tma
3303,all,0.0515021,rov.rpki.net
3356,peers,1,cloudflare
3399,peers,1,cloudflare
3462,peers,1,cloudflare
3491,peers,1,cloudflare
4764,peers,1,cloudflare
4826,peers,1,cloudflare
5089,peers,1,cloudflare
5394,all,0.952113,rov.rpki.net
5413,all,0.00429185,rov.rpki.net
5511,peers,1,cloudflare
5539,peers,1,cloudflare
6079,peers,1,cloudflare
6453,peers,1,cloudflare
6830,all,1,cloudflare
6866,peers,1,cloudflare
6871,peers,1,cloudflare
6939,peers,1,cloudflare
6939,all,1,tma
6939,all,0.97644,rov.rpki.net
7018,all,1,cloudflare
7195,peers,1,cloudflare
7575,all,0.127168,rov.rpki.net
7642,peers,1,cloudflare
7713,all,0.963061,rov.rpki.net
7922,peers,1,cloudflare
8075,peers,1,cloudflare
8194,all,0.2,tma
8218,all,0.118026,rov.rpki.net
8283,peers,1,cloudflare
8283,all,1,tma
8283,all,0.935841,rov.rpki.net
8359,all,0.2,tma
8492,all,0.552217,rov.rpki.net
8758,all,0.753754,rov.rpki.net
8764,all,0.2,tma
8767,peers,1,cloudflare
9002,peers,1,cloudflare
9136,peers,1,cloudflare
9304,all,0.836601,rov.rpki.net
9443,peers,1,cloudflare
10026,all,0.85,rov.rpki.net
11537,all,0.2,tma
11708,all,0.283737,rov.rpki.net
12297,all,0.2,tma
12337,peers,1,cloudflare
12576,peers,1,cloudflare
12637,all,0.856209,rov.rpki.net
12779,all,0.971053,rov.rpki.net
12859,all,0.947368,rov.rpki.net
12876,peers,1,cloudflare
13188,peers,1,cloudflare
13237,all,0.89759,rov.rpki.net
13335,peers,1,cloudflare
13786,all,0.0416667,rov.rpki.net
14061,all,1,cloudflare
14282,peers,1,cloudflare
14525,peers,1,cloudflare
14840,all,0.386842,rov.rpki.net
14907,peers,1,cloudflare
14907,all,0.880795,rov.rpki.net
15435,peers,1,cloudflare
15435,all,0.854305,rov.rpki.net
15547,all,0.864035,rov.rpki.net
15576,peers,1,cloudflare
16347,all,0.0424107,rov.rpki.net
16509,peers,1,cloudflare
16552,all,0.925,rov.rpki.net
17147,peers,1,cloudflare
17451,peers,1,cloudflare
17639,all,0.0726644,rov.rpki.net
18106,peers,1,cloudflare
18106,all,1,tma
18106,all,0.751783,rov.rpki.net
18209,peers,1,cloudflare
19016,all,0.269444,rov.rpki.net
20562,all,0.863839,rov.rpki.net
20764,all,0.305907,rov.rpki.net
20766,all,0.894118,rov.rpki.net
20932,all,0.285088,rov.rpki.net
20953,all,0.968,rov.rpki.net
20965,peers,1,cloudflare
22773,peers,1,cloudflare
23106,all,0.191781,rov.rpki.net
24309,peers,1,cloudflare
24482,all,0.885496,rov.rpki.net
24516,all,0.55409,rov.rpki.net
24875,all,0.942105,rov.rpki.net
24961,all,0.635135,rov.rpki.net
25091,all,0.868421,rov.rpki.net
25160,all,0.829646,rov.rpki.net
25220,all,0.852321,rov.rpki.net
25227,all,0.00234742,rov.rpki.net
25369,peers,1,cloudflare
27400,peers,1,cloudflare
28126,peers,1,cloudflare
28186,peers,1,cloudflare
28220,all,0.028133,rov.rpki.net
28260,all,0.25,rov.rpki.net
28263,peers,1,cloudflare
28329,peers,1,cloudflare
28634,all,0.0732759,rov.rpki.net
28792,all,0.266667,rov.rpki.net
28917,all,0.75502,rov.rpki.net
29075,all,0.85209,rov.rpki.net
29140,all,0.697674,rov.rpki.net
29208,all,1,tma
29413,peers,1,cloudflare
29467,all,0.930556,rov.rpki.net
29518,peers,1,cloudflare
29695,peers,1,cloudflare
30132,all,0.850549,rov.rpki.net
30736,peers,1,cloudflare
30781,peers,1,cloudflare
30781,all,1,tma
30844,all,0.725191,rov.rpki.net
31019,all,0.968421,rov.rpki.net
31424,all,0.854077,rov.rpki.net
31472,peers,1,cloudflare
32097,all,0.294118,rov.rpki.net
33891,peers,1,cloudflare
33986,peers,1,cloudflare
34019,all,0.971014,rov.rpki.net
34177,all,0.857143,rov.rpki.net
34224,all,0.927505,rov.rpki.net
34288,all,0.898571,rov.rpki.net
34968,all,0.947368,rov.rpki.net
35280,peers,1,cloudflare
35432,peers,1,cloudflare
35612,peers,1,cloudflare
36236,all,0.893162,rov.rpki.net
36351,all,0.170807,rov.rpki.net
36352,peers,1,cloudflare
37100,all,1,tma
37100,all,0.900826,rov.rpki.net
37468,all,0.925234,rov.rpki.net
37497,all,0.846269,rov.rpki.net
37697,all,0.00961538,rov.rpki.net
38001,all,0.7,rov.rpki.net
38880,all,0.970588,rov.rpki.net
39120,all,0.947735,rov.rpki.net
39122,all,0.913121,rov.rpki.net
39351,all,0.756798,rov.rpki.net
39591,all,0.951219,rov.rpki.net
39839,peers,1,cloudflare
41000,peers,1,cloudflare
41164,peers,1,cloudflare
41327,all,0.644599,rov.rpki.net
42541,all,0.930693,rov.rpki.net
42831,peers,1,cloudflare
42861,all,0.886957,rov.rpki.net
43376,all,0.894737,rov.rpki.net
43578,all,0.00235849,rov.rpki.net
43607,all,0.0344828,rov.rpki.net
44530,peers,1,cloudflare
45177,peers,1,cloudflare
45352,all,0.885222,rov.rpki.net
46664,peers,1,cloudflare
46997,all,0.723404,rov.rpki.net
47147,peers,1,cloudflare
47147,all,0.927336,rov.rpki.net
47441,all,0.666667,rov.rpki.net
47524,peers,1,cloudflare
48292,all,0.6,rov.rpki.net
48362,all,0.865546,rov.rpki.net
48526,all,0.522565,rov.rpki.net
49375,all,0.5,rov.rpki.net
49463,all,0.4,rov.rpki.net
49605,all,0.867102,rov.rpki.net
49697,all,0.0106762,rov.rpki.net
49709,all,1.0,rov.rpki.net
49752,all,0.00361011,rov.rpki.net
50300,all,0.753754,rov.rpki.net
50304,all,0.878788,rov.rpki.net
50581,all,0.2,tma
50673,all,0.851724,rov.rpki.net
50763,all,0.801105,rov.rpki.net
51088,peers,1,cloudflare
51088,all,0.971053,rov.rpki.net
51185,all,0.87963,rov.rpki.net
51999,peers,1,cloudflare
52320,all,0.691589,rov.rpki.net
52873,peers,1,cloudflare
53828,all,0.127143,rov.rpki.net
54455,peers,1,cloudflare
54825,all,1,cloudflare
55536,peers,1,cloudflare
55805,peers,1,cloudflare
56655,peers,1,cloudflare
56665,all,0.881944,rov.rpki.net
57111,all,0.80814,rov.rpki.net
57463,all,0.855051,rov.rpki.net
58057,all,0.0625,rov.rpki.net
58511,all,0.974922,rov.rpki.net
58820,peers,1,cloudflare
59605,all,0.211454,rov.rpki.net
60422,peers,1,cloudflare
60501,all,0.909836,rov.rpki.net
60876,peers,1,cloudflare
61317,all,1,cloudflare
61568,all,0.2,tma
61568,all,0.0104712,rov.rpki.net
61785,peers,1,cloudflare
61955,all,0.173333,rov.rpki.net
63023,peers,1,cloudflare
63927,all,0.966102,rov.rpki.net
63956,all,0.102874,rov.rpki.net
64271,all,0.88125,rov.rpki.net
132335,peers,1,cloudflare
198290,all,0.00223214,rov.rpki.net
199524,all,0.96,rov.rpki.net
199938,all,0.870748,rov.rpki.net
200130,all,0.0238095,rov.rpki.net
203900,all,0.683544,rov.rpki.net
204151,peers,1,cloudflare
205668,peers,1,cloudflare
207841,peers,1,cloudflare
211562,peers,1,cloudflare
262659,peers,1,cloudflare
263009,all,0.96,rov.rpki.net
263444,peers,1,cloudflare
264130,peers,1,cloudflare
265656,peers,1,cloudflare
266534,all,0.0428571,rov.rpki.net
267613,all,0.133333,rov.rpki.net
327960,all,0.0245098,rov.rpki.net
393891,peers,1,cloudflare
394256,peers,1,cloudflare
397143,peers,1,cloudflare
397388,peers,1,cloudflare
199333,all,1,synthetic
58750,all,1,synthetic
397048,all,1,synthetic
149305,all,1,synthetic
268258,all,1,synthetic
30185,all,1,synthetic
61506,all,1,synthetic
21628,all,1,synthetic
36011,all,1,synthetic
44298,all,1,synthetic
205738,all,1,synthetic
38417,all,1,synthetic
264433,all,1,synthetic
58481,all,1,synthetic
139611,all,1,synthetic
264014,all,1,synthetic
197230,all,1,synthetic
212841,all,1,synthetic
327742,all,1,synthetic
205188,all,1,synthetic
22145,all,1,synthetic
56234,all,1,synthetic
204879,all,1,synthetic
140603,all,1,synthetic
35658,all,1,synthetic
137478,all,1,synthetic
136741,all,1,synthetic
46504,all,1,synthetic
206187,all,1,synthetic
211239,all,1,synthetic
36043,all,1,synthetic
201603,all,1,synthetic
149405,all,1,synthetic
63796,all,1,synthetic
268812,all,1,synthetic
131964,all,1,synthetic
271467,all,1,synthetic
29656,all,1,synthetic
197608,all,1,synthetic
50880,all,1,synthetic
63,all,1,synthetic
37357,all,1,synthetic
14064,all,1,synthetic
3390,all,1,synthetic
23271,all,1,synthetic
202112,all,1,synthetic
12628,all,1,synthetic
269088,all,1,synthetic
16641,all,1,synthetic
211326,all,1,synthetic
63486,all,1,synthetic
33683,all,1,synthetic
136190,all,1,synthetic
4549,all,1,synthetic
38681,all,1,synthetic
208071,all,1,synthetic
400154,all,1,synthetic
41935,all,1,synthetic
53990,all,1,synthetic
41655,all,1,synthetic
196944,all,1,synthetic
398954,all,1,synthetic
210958,all,1,synthetic
45929,all,1,synthetic
8867,all,1,synthetic
397422,all,1,synthetic
45324,all,1,synthetic
266157,all,1,synthetic
269212,all,1,synthetic
264566,all,1,synthetic
12441,all,1,synthetic
12175,all,1,synthetic
139529,all,1,synthetic
400716,all,1,synthetic
36008,all,1,synthetic
267858,all,1,synthetic
58700,all,1,synthetic
202730,all,1,synthetic
207123,all,1,synthetic
199102,all,1,synthetic
204811,all,1,synthetic
207093,all,1,synthetic
41183,all,1,synthetic
136008,all,1,synthetic
53881,all,1,synthetic
394609,all,1,synthetic
327833,all,1,synthetic
199952,all,1,synthetic
204526,all,1,synthetic
44778,all,1,synthetic
209596,all,1,synthetic
44033,all,1,synthetic
137000,all,1,synthetic
50281,all,1,synthetic
19155,all,1,synthetic
206539,all,1,synthetic
62493,all,1,synthetic
398455,all,1,synthetic
46648,all,1,synthetic
398074,all,1,synthetic
48025,all,1,synthetic
199397,all,1,synthetic
394151,all,1,synthetic
56400,all,1,synthetic
269596,all,1,synthetic
133274,all,1,synthetic
62634,all,1,synthetic
23852,all,1,synthetic
328106,all,1,synthetic
137472,all,1,synthetic
271481,all,1,synthetic
53241,all,1,synthetic
2875,all,1,synthetic
43625,all,1,synthetic
205911,all,1,synthetic
398866,all,1,synthetic
51799,all,1,synthetic
394913,all,1,synthetic
48429,all,1,synthetic
139433,all,1,synthetic
43779,all,1,synthetic
28920,all,1,synthetic
265911,all,1,synthetic
212606,all,1,synthetic
395531,all,1,synthetic
132438,all,1,synthetic
15823,all,1,synthetic
12012,all,1,synthetic
138954,all,1,synthetic
133116,all,1,synthetic
63260,all,1,synthetic
208461,all,1,synthetic
132519,all,1,synthetic
31975,all,1,synthetic
268592,all,1,synthetic
18297,all,1,synthetic
15208,all,1,synthetic
49301,all,1,synthetic
25508,all,1,synthetic
142632,all,1,synthetic
137876,all,1,synthetic
2504,all,1,synthetic
268564,all,1,synthetic
329066,all,1,synthetic
13460,all,1,synthetic
395972,all,1,synthetic
56407,all,1,synthetic
198644,all,1,synthetic
206675,all,1,synthetic
141879,all,1,synthetic
51208,all,1,synthetic
211234,all,1,synthetic
134765,all,1,synthetic
51455,all,1,synthetic
199440,all,1,synthetic
24732,all,1,synthetic
17608,all,1,synthetic
399791,all,1,synthetic
33240,all,1,synthetic
142283,all,1,synthetic
35618,all,1,synthetic
30574,all,1,synthetic
43251,all,1,synthetic
38722,all,1,synthetic
22247,all,1,synthetic
26054,all,1,synthetic
198576,all,1,synthetic
264021,all,1,synthetic
42614,all,1,synthetic
782,all,1,synthetic
57216,all,1,synthetic
24157,all,1,synthetic
396117,all,1,synthetic
19643,all,1,synthetic
16760,all,1,synthetic
209903,all,1,synthetic
25653,all,1,synthetic
20179,all,1,synthetic
26206,all,1,synthetic
209350,all,1,synthetic
48336,all,1,synthetic
47300,all,1,synthetic
54754,all,1,synthetic
396462,all,1,synthetic
30987,all,1,synthetic
49587,all,1,synthetic
93,all,1,synthetic
263053,all,1,synthetic
24023,all,1,synthetic
16711,all,1,synthetic
48604,all,1,synthetic
135791,all,1,synthetic
202600,all,1,synthetic
138841,all,1,synthetic
30981,all,1,synthetic
29949,all,1,synthetic
53598,all,1,synthetic
31354,all,1,synthetic
50426,all,1,synthetic
265119,all,1,synthetic
136911,all,1,synthetic
149324,all,1,synthetic
141129,all,1,synthetic
40215,all,1,synthetic
36792,all,1,synthetic
138739,all,1,synthetic
58434,all,1,synthetic
203411,all,1,synthetic
37441,all,1,synthetic
22294,all,1,synthetic
267525,all,1,synthetic
64461,all,1,synthetic
202567,all,1,synthetic
196810,all,1,synthetic
12286,all,1,synthetic
47342,all,1,synthetic
48270,all,1,synthetic
1055,all,1,synthetic
55662,all,1,synthetic
213258,all,1,synthetic
29914,all,1,synthetic
51630,all,1,synthetic
22620,all,1,synthetic
263420,all,1,synthetic
54909,all,1,synthetic
131221,all,1,synthetic
328546,all,1,synthetic
40275,all,1,synthetic
399436,all,1,synthetic
138636,all,1,synthetic
49475,all,1,synthetic
202442,all,1,synthetic
394667,all,1,synthetic
212414,all,1,synthetic
268508,all,1,synthetic
200474,all,1,synthetic
29435,all,1,synthetic
136247,all,1,synthetic
19231,all,1,synthetic
137044,all,1,synthetic
62384,all,1,synthetic
201216,all,1,synthetic
270657,all,1,synthetic
39698,all,1,synthetic
49582,all,1,synthetic
265521,all,1,synthetic
202253,all,1,synthetic
150554,all,1,synthetic
263325,all,1,synthetic
133658,all,1,synthetic
51833,all,1,synthetic
42446,all,1,synthetic
209316,all,1,synthetic
208606,all,1,synthetic
205889,all,1,synthetic
133740,all,1,synthetic
57860,all,1,synthetic
53552,all,1,synthetic
270439,all,1,synthetic
54465,all,1,synthetic
205247,all,1,synthetic
48815,all,1,synthetic
27326,all,1,synthetic
40988,all,1,synthetic
393586,all,1,synthetic
44569,all,1,synthetic
131637,all,1,synthetic
140706,all,1,synthetic
23938,all,1,synthetic
62130,all,1,synthetic
271448,all,1,synthetic
24370,all,1,synthetic
47255,all,1,synthetic
395828,all,1,synthetic
10448,all,1,synthetic
212752,all,1,synthetic
20306,all,1,synthetic
29242,all,1,synthetic
41728,all,1,synthetic
264625,all,1,synthetic
36119,all,1,synthetic
16733,all,1,synthetic
134140,all,1,synthetic
142580,all,1,synthetic
39888,all,1,synthetic
266652,all,1,synthetic
30020,all,1,synthetic
23517,all,1,synthetic
31023,all,1,synthetic
268459,all,1,synthetic
205787,all,1,synthetic
267631,all,1,synthetic
198927,all,1,synthetic
212206,all,1,synthetic
24879,all,1,synthetic
36204,all,1,synthetic
53418,all,1,synthetic
32039,all,1,synthetic
134534,all,1,synthetic
271776,all,1,synthetic
204464,all,1,synthetic
206778,all,1,synthetic
47766,all,1,synthetic
27583,all,1,synthetic
212020,all,1,synthetic
139943,all,1,synthetic
397405,all,1,synthetic
5386,all,1,synthetic
57910,all,1,synthetic
773,all,1,synthetic
98,all,1,synthetic
29148,all,1,synthetic
7860,all,1,synthetic
33730,all,1,synthetic
267850,all,1,synthetic
44409,all,1,synthetic
51699,all,1,synthetic
31781,all,1,synthetic
26945,all,1,synthetic
146860,all,1,synthetic
149432,all,1,synthetic
60878,all,1,synthetic
32389,all,1,synthetic
265714,all,1,synthetic
135134,all,1,synthetic
201448,all,1,synthetic
53613,all,1,synthetic
205276,all,1,synthetic
34012,all,1,synthetic
10238,all,1,synthetic
131761,all,1,synthetic
29560,all,1,synthetic
263317,all,1,synthetic
395885,all,1,synthetic
209434,all,1,synthetic
14787,all,1,synthetic
271481,all,1,synthetic
13330,all,1,synthetic
27780,all,1,synthetic
138525,all,1,synthetic
140725,all,1,synthetic
146985,all,1,synthetic
212861,all,1,synthetic
271611,all,1,synthetic
30266,all,1,synthetic
51742,all,1,synthetic
202819,all,1,synthetic
37519,all,1,synthetic
206547,all,1,synthetic
265100,all,1,synthetic
37898,all,1,synthetic
37917,all,1,synthetic
51030,all,1,synthetic
13679,all,1,synthetic
46424,all,1,synthetic
393762,all,1,synthetic
135137,all,1,synthetic
210832,all,1,synthetic
204892,all,1,synthetic
328245,all,1,synthetic
264400,all,1,synthetic
9458,all,1,synthetic
18094,all,1,synthetic
61596,all,1,synthetic
199089,all,1,synthetic
44268,all,1,synthetic
54969,all,1,synthetic
64111,all,1,synthetic
135294,all,1,synthetic
267529,all,1,synthetic
201949,all,1,synthetic
264651,all,1,synthetic
15594,all,1,synthetic
133656,all,1,synthetic
394184,all,1,synthetic
199278,all,1,synthetic
395479,all,1,synthetic
10240,all,1,synthetic
9486,all,1,synthetic
49980,all,1,synthetic
211432,all,1,synthetic
38437,all,1,synthetic
205081,all,1,synthetic
38229,all,1,synthetic
43625,all,1,synthetic
51636,all,1,synthetic
63835,all,1,synthetic
58735,all,1,synthetic
44246,all,1,synthetic
57670,all,1,synthetic
205530,all,1,synthetic
14005,all,1,synthetic
40796,all,1,synthetic
45518,all,1,synthetic
197653,all,1,synthetic
36431,all,1,synthetic
62265,all,1,synthetic
28660,all,1,synthetic
44511,all,1,synthetic
200162,all,1,synthetic
62994,all,1,synthetic
50048,all,1,synthetic
393231,all,1,synthetic
11719,all,1,synthetic
38592,all,1,synthetic
149009,all,1,synthetic
135238,all,1,synthetic
201080,all,1,synthetic
209007,all,1,synthetic
264806,all,1,synthetic
30435,all,1,synthetic
327730,all,1,synthetic
397168,all,1,synthetic
48893,all,1,synthetic
270270,all,1,synthetic
134258,all,1,synthetic
329004,all,1,synthetic
396748,all,1,synthetic
2285,all,1,synthetic
31317,all,1,synthetic
137653,all,1,synthetic
201419,all,1,synthetic
54896,all,1,synthetic
10191,all,1,synthetic
140728,all,1,synthetic
213245,all,1,synthetic
266614,all,1,synthetic
46569,all,1,synthetic
5670,all,1,synthetic
396207,all,1,synthetic
35560,all,1,synthetic
140728,all,1,synthetic
133137,all,1,synthetic
46988,all,1,synthetic
48015,all,1,synthetic
399913,all,1,synthetic
41776,all,1,synthetic
25149,all,1,synthetic
28249,all,1,synthetic
60819,all,1,synthetic
137622,all,1,synthetic
203188,all,1,synthetic
400006,all,1,synthetic
137272,all,1,synthetic
48206,all,1,synthetic
24336,all,1,synthetic
270044,all,1,synthetic
51947,all,1,synthetic
47369,all,1,synthetic
62037,all,1,synthetic
139183,all,1,synthetic
206083,all,1,synthetic
63120,all,1,synthetic
206536,all,1,synthetic
202323,all,1,synthetic
51834,all,1,synthetic
327745,all,1,synthetic
39548,all,1,synthetic
61756,all,1,synthetic
12417,all,1,synthetic
61343,all,1,synthetic
33415,all,1,synthetic
58590,all,1,synthetic
397606,all,1,synthetic
62125,all,1,synthetic
135863,all,1,synthetic
396051,all,1,synthetic
208221,all,1,synthetic
137554,all,1,synthetic
205080,all,1,synthetic
209160,all,1,synthetic
50749,all,1,synthetic
43459,all,1,synthetic
2941,all,1,synthetic
137018,all,1,synthetic
197252,all,1,synthetic
203906,all,1,synthetic
61084,all,1,synthetic
53320,all,1,synthetic
31521,all,1,synthetic
21785,all,1,synthetic
138289,all,1,synthetic
397134,all,1,synthetic
43007,all,1,synthetic
207066,all,1,synthetic
208355,all,1,synthetic
31096,all,1,synthetic
399525,all,1,synthetic
60594,all,1,synthetic
56615,all,1,synthetic
395159,all,1,synthetic
136932,all,1,synthetic
52224,all,1,synthetic
132988,all,1,synthetic
206747,all,1,synthetic
210797,all,1,synthetic
55343,all,1,synthetic
4995,all,1,synthetic
397691,all,1,synthetic
26211,all,1,synthetic
395075,all,1,synthetic
25274,all,1,synthetic
393841,all,1,synthetic
211997,all,1,synthetic
328309,all,1,synthetic
135559,all,1,synthetic
204373,all,1,synthetic
14163,all,1,synthetic
13910,all,1,synthetic
51288,all,1,synthetic
208593,all,1,synthetic
269981,all,1,synthetic
456,all,1,synthetic
27001,all,1,synthetic
1567,all,1,synthetic
46052,all,1,synthetic
201013,all,1,synthetic
12208,all,1,synthetic
269294,all,1,synthetic
4961,all,1,synthetic
210465,all,1,synthetic
270450,all,1,synthetic
211232,all,1,synthetic
26450,all,1,synthetic
397880,all,1,synthetic
20585,all,1,synthetic
208476,all,1,synthetic
210341,all,1,synthetic
48501,all,1,synthetic
11933,all,1,synthetic
18650,all,1,synthetic
268660,all,1,synthetic
44119,all,1,synthetic
272120,all,1,synthetic
204770,all,1,synthetic
209235,all,1,synthetic
63749,all,1,synthetic
22600,all,1,synthetic
16978,all,1,synthetic
58346,all,1,synthetic
20437,all,1,synthetic
266775,all,1,synthetic
396151,all,1,synthetic
139510,all,1,synthetic
263450,all,1,synthetic
398172,all,1,synthetic
135730,all,1,synthetic
31531,all,1,synthetic
41895,all,1,synthetic
57160,all,1,synthetic
9078,all,1,synthetic
31712,all,1,synthetic
48564,all,1,synthetic
267523,all,1,synthetic
267160,all,1,synthetic
265884,all,1,synthetic
209521,all,1,synthetic
396895,all,1,synthetic
30477,all,1,synthetic
31245,all,1,synthetic
56017,all,1,synthetic
22934,all,1,synthetic
263266,all,1,synthetic
20665,all,1,synthetic
35560,all,1,synthetic
209646,all,1,synthetic
62821,all,1,synthetic
150461,all,1,synthetic
42435,all,1,synthetic
52375,all,1,synthetic
62743,all,1,synthetic
33539,all,1,synthetic
29651,all,1,synthetic
59951,all,1,synthetic
32431,all,1,synthetic
17381,all,1,synthetic
34192,all,1,synthetic
208468,all,1,synthetic
140168,all,1,synthetic
397715,all,1,synthetic
48594,all,1,synthetic
36500,all,1,synthetic
13812,all,1,synthetic
393333,all,1,synthetic
53363,all,1,synthetic
47086,all,1,synthetic
262638,all,1,synthetic
264727,all,1,synthetic
60078,all,1,synthetic
47931,all,1,synthetic
138509,all,1,synthetic
9955,all,1,synthetic
53970,all,1,synthetic
397849,all,1,synthetic
51608,all,1,synthetic
59115,all,1,synthetic
147199,all,1,synthetic
59402,all,1,synthetic
150669,all,1,synthetic
212963,all,1,synthetic
138758,all,1,synthetic
203398,all,1,synthetic
511,all,1,synthetic
18074,all,1,synthetic
40102,all,1,synthetic
44180,all,1,synthetic
266357,all,1,synthetic
399706,all,1,synthetic
264056,all,1,synthetic
19827,all,1,synthetic
58403,all,1,synthetic
205804,all,1,synthetic
45229,all,1,synthetic
133318,all,1,synthetic
62374,all,1,synthetic
21809,all,1,synthetic
24524,all,1,synthetic
40430,all,1,synthetic
17472,all,1,synthetic
206802,all,1,synthetic
141507,all,1,synthetic
31032,all,1,synthetic
20320,all,1,synthetic
268388,all,1,synthetic
8672,all,1,synthetic
400273,all,1,synthetic
40513,all,1,synthetic
30647,all,1,synthetic
48395,all,1,synthetic
266487,all,1,synthetic
61006,all,1,synthetic
62006,all,1,synthetic
20548,all,1,synthetic
5421,all,1,synthetic
9524,all,1,synthetic
141090,all,1,synthetic
53173,all,1,synthetic
28079,all,1,synthetic
44857,all,1,synthetic
8894,all,1,synthetic
270630,all,1,synthetic
25807,all,1,synthetic
397869,all,1,synthetic
31056,all,1,synthetic
36019,all,1,synthetic
52944,all,1,synthetic
22763,all,1,synthetic
49681,all,1,synthetic
134901,all,1,synthetic
21355,all,1,synthetic
57530,all,1,synthetic
3334,all,1,synthetic
47301,all,1,synthetic
263766,all,1,synthetic
137334,all,1,synthetic
203883,all,1,synthetic
262786,all,1,synthetic
40161,all,1,synthetic
266365,all,1,synthetic
201780,all,1,synthetic
140637,all,1,synthetic
271894,all,1,synthetic
10127,all,1,synthetic
131480,all,1,synthetic
395835,all,1,synthetic
47284,all,1,synthetic
23082,all,1,synthetic
202386,all,1,synthetic
271134,all,1,synthetic
55872,all,1,synthetic
15754,all,1,synthetic
58047,all,1,synthetic
264527,all,1,synthetic
6707,all,1,synthetic
34795,all,1,synthetic
395473,all,1,synthetic
141804,all,1,synthetic
31669,all,1,synthetic
204722,all,1,synthetic
32701,all,1,synthetic
33620,all,1,synthetic
271287,all,1,synthetic
398717,all,1,synthetic
270391,all,1,synthetic
205945,all,1,synthetic
397408,all,1,synthetic
62103,all,1,synthetic
28698,all,1,synthetic
64086,all,1,synthetic
396488,all,1,synthetic
15147,all,1,synthetic
13153,all,1,synthetic
208748,all,1,synthetic
44523,all,1,synthetic
134239,all,1,synthetic
28640,all,1,synthetic
3227,all,1,synthetic
5386,all,1,synthetic
132678,all,1,synthetic
265769,all,1,synthetic
48665,all,1,synthetic
142153,all,1,synthetic
269757,all,1,synthetic
46630,all,1,synthetic
53851,all,1,synthetic
39027,all,1,synthetic
134214,all,1,synthetic
202802,all,1,synthetic
25725,all,1,synthetic
34600,all,1,synthetic
139830,all,1,synthetic
39327,all,1,synthetic
210190,all,1,synthetic
210040,all,1,synthetic
207755,all,1,synthetic
208198,all,1,synthetic
44126,all,1,synthetic
267878,all,1,synthetic
10690,all,1,synthetic
14755,all,1,synthetic
149748,all,1,synthetic
133857,all,1,synthetic
272535,all,1,synthetic
262389,all,1,synthetic
400686,all,1,synthetic
271103,all,1,synthetic
61868,all,1,synthetic
51789,all,1,synthetic
211629,all,1,synthetic
29419,all,1,synthetic
206937,all,1,synthetic
34216,all,1,synthetic
24494,all,1,synthetic
268654,all,1,synthetic
203327,all,1,synthetic
62653,all,1,synthetic
265107,all,1,synthetic
34396,all,1,synthetic
395397,all,1,synthetic
263977,all,1,synthetic
396037,all,1,synthetic
265876,all,1,synthetic
14296,all,1,synthetic
398722,all,1,synthetic
132696,all,1,synthetic
132968,all,1,synthetic
10179,all,1,synthetic
56722,all,1,synthetic
22314,all,1,synthetic
201092,all,1,synthetic
149028,all,1,synthetic
395725,all,1,synthetic
271343,all,1,synthetic
133901,all,1,synthetic
208209,all,1,synthetic
397814,all,1,synthetic
34802,all,1,synthetic
11047,all,1,synthetic
134082,all,1,synthetic
